labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
26,inter_B_N,dfdmeobn_dbu.log,-22.7,12.6,-60.69709965,-219.4985453,0.08047,-0.59764,3.5532796200818475,814.4944189779999,31.524328098422487,125.0451701944984,99.93649535917532,1.08256,-0.59728,0.862838,-0.700493,0.3429676813992689,-0.189225296284876,0.27335717954033256,-0.2219243829870105,-0.36394064410000254,-0.3401995022953346
27,inter_B_N,dfdmeobn_pyra.log,11.4,19.8,-61.0704681,-177.1014597,0.07054,-0.47287,5.588944758005576,742.3434189779998,119.60605879647034,298.22201813767464,122.61303668809174,1.07541,-0.43696,1.030638,-0.288018,0.13771283784885316,-0.05595540456796466,0.13197950900109381,-0.036882469134145106,-0.16815737995152008,-0.10622480927506203
28,inter_B_N,tfbn_dbu.log,-34.0,8.4,-81.04724895,-209.8116734,0.04219,-0.40541,3.445687097289741,742.2808379560001,0.5853454681605741,79.08163740786226,136.266103384035,0.91875,-0.60342,1.053857,-0.901667,0.3095320828810606,-0.203295618451254,0.35505039702725,-0.30377672334706646,-0.32178901295829543,-0.5515463550746769
29,inter_B_N,tfbn_pyra.log,-4.9,11.4,-82.81619964,-174.6930763,0.02567,-0.45356,4.175789403077459,670.129837956,45.291697171517164,126.53947132768506,110.11510535433362,0.9309,-0.43363,1.111195,-0.48845,0.21354324892261559,-0.09947229458622173,0.25490191265073137,-0.11204769570979868,-0.1933364583484538,-0.25995716994252444
30,inter_B_N,tmebn_dbu.log,3.2,22.1,-29.71755846,-202.4509811,0.108,-0.39634,4.389856095468392,694.72,139.64499487649059,263.18930555017255,88.14227059639038,1.21785,-0.60354,0.869801,-0.472162,0.2527861201127056,-0.12527530889093266,0.18054244780568335,-0.09800550153520986,-0.3348725666696708,-0.18710726312233714
