labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
31,intra_B_P,azaborinine_phbenzophosphine.log,34.1,40.9,-27.59029956,-194.7257055,0.09289,-0.44134,3.113032217089473,403.27176199799993,158.47195769831671,100.75221627918248,81.10866628942601,0.67602,0.8469,0.542406,-0.64898,0.27903090360398525,0.3495625458747006,0.22388100396470997,-0.2678699976641436,0.3678223019068388,-0.22615290901750582
32,intra_B_P,perf_tetrafphphosphane.log,7.8,20.7,-72.3719232,-167.1089904,0.04585,-0.51482,3.2712027478202876,454.01379362799986,156.00657631521116,127.98645631485489,56.8009473752579,0.95409,0.31456,0.891609,-0.338893,0.356643579956079,0.11758409008687254,0.3332878718790257,-0.12667988632315136,0.1834912559913806,-0.18473941979801733
33,intra_B_P,phosphanylphenilborane_phosphanylphenilborane.log,9.2,20.3,-38.30377779,-204.3410413,0.11328,-0.43378,3.073653561186589,590.5592859940002,174.86962945136884,87.92623577234833,92.16994601732907,1.20813,0.88407,0.573445,-0.432527,0.5115214252166341,0.3743146403046607,0.2427962253096544,-0.18313163938042687,0.6949849537939918,-0.1613912827698431
