family,file_name,free_ener_barr,free_ener_reac,labels,E$_{p}$(LA),E$_{p}$(LA)$^2$,E$_{p}$(LB),E$_{p}$(LB)$^2$,EF$_{la}$(ESP),EF$_{la}$(ESP)$^2$,EF$_{la}$(NPA),EF$_{la}$(NPA)$^2$,EF$_{lb}$(ESP),EF$_{lb}$(ESP)$^2$,EF$_{lb}$(NPA),EF$_{lb}$(NPA)$^2$,EP(ESP),EP(ESP)$^2$,EP(NPA),EP(NPA)$^2$,FEHA,FEHA$^2$,FEPA,FEPA$^2$,Mw,Mw$^2$,d,d$^2$,q$_{la}$(ESP),q$_{la}$(ESP)$^2$,q$_{la}$(NPA),q$_{la}$(NPA)$^2$,q$_{lb}$(ESP),q$_{lb}$(ESP)$^2$,q$_{lb}$(NPA),q$_{lb}$(NPA)$^2$,Φ,Φ$^2$,γ,γ$^2$,λ,λ$^2$
intra_B_N,4meborinane_fmetriazole.log,27.7,8.2,1,0.11329,0.0128346241,-0.47946,0.2298818916,0.17963684324781098,0.032269395452038614,0.7387138755659698,0.5456981899536951,-0.09175824539879784,0.008419575598666006,-0.15252122664078804,0.023262724576010634,-0.035572474332880244,0.0012654009301634238,-0.2431532650893763,0.0591235103236245,-45.8157,2099.07836649,-182.5306762,33317.44775402924,237.12940316300003,56230.35384444061,2.5845673212284486,6.679988237961998,0.299993,0.089995800049,1.23365,1.5218923224999998,-0.153236,0.023481271696000002,-0.25471,0.0648771841,167.52954443876737,28066.148259860933,10.383931838771675,107.8260404322561,215.71935506421272,46534.840149319876
intra_B_N,4meborinane_fnmeimidazole.log,30.1,12.0,2,0.11216,0.012579865599999998,-0.4558,0.20775364,0.10462510365187229,0.01094641231416502,0.7100930654841335,0.5042321616486539,-0.3279663373367364,0.10756191842607399,-0.32060094911273024,0.10278496857198344,-0.07568217147401697,0.0057277910790225085,-0.5021211196563552,0.25212561880495177,-39.54750261,1564.004962687957,-187.8249781,35278.22239826548,236.14140316300004,55762.76228779052,2.6033914054334977,6.7776468098850025,0.177278,0.031427489284,1.20319,1.4476661761,-0.55571,0.3088136041,-0.54323,0.2950988329,163.04329901391532,26583.117353341,16.723863850367128,279.6876220856164,206.92898288708494,42819.603958683496
intra_B_N,BN_aniline_C5F5_C5F5_Me_Me.log,15.4,-4.2,10,0.04992,0.0024920064,-0.32631,0.1064782161,0.41318768607884826,0.17072406392719286,0.403630653710576,0.1629177046148269,-0.13622385351535923,0.01855693826657405,-0.227561442410931,0.05178421007214346,-0.19147367816403507,0.03666216942966448,-0.3124577979009937,0.09762987546913823,-64.24378617,4127.264061456684,-179.8919966,32361.13044073441,465.10103162999997,216318.96962329024,3.0079192873842207,9.047578439417999,0.934587,0.8734528605689998,0.91297,0.8335142208999999,-0.308124,0.094940399376,-0.51472,0.26493667839999996,125.3511742569102,15712.916887586265,60.92239336355078,3711.538013143216,128.31534917429173,16464.828833720407
intra_B_N,BN_aniline_C5F5_C5F5_Ph_Ph.log,16.3,0.7,11,0.06661,0.0044368921,-0.44888,0.2014932544,0.5348568261581796,0.2860718244880012,0.5273311220222688,0.278078112253265,-0.31808847505999377,0.10118027796599227,-0.29768913453247686,0.08861882081869511,-0.4190643897805876,0.17561496278217623,-0.38667105891201087,0.14951450780013578,-75.21830856,5657.793942627369,-174.7200592,30527.099086851507,589.2430316299999,347207.35032451304,2.7010238726908726,7.295529960845999,0.975516,0.9516314662560001,0.96179,0.9250400041000001,-0.580156,0.33658098433600003,-0.54295,0.29479470250000006,58.2098744251325,3388.3894805896944,32.086501939705585,1029.5436067267303,186.60199924123992,34820.30612082771
intra_B_N,BN_aniline_C5F5_C5F5_isopropyldimethylhydroquinoline19.log,20.1,-6.0,9,0.05801,0.0033651601,-0.33894,0.11488032360000001,0.43015100438871867,0.18502988657662348,0.3912452167274647,0.15307281961212083,-0.2753568475158837,0.07582139347388561,-0.24533174203498534,0.06018766364992059,-0.4568943199301361,0.20875241958442153,-0.3702556721530799,0.137089262761529,-68.55289734,4699.49973370858,-180.2076342,32474.79142396101,623.3450316300001,388559.02845780586,3.136627708217378,9.838433379957001,1.058003,1.119370348009,0.96231,0.9260405361,-0.67727,0.45869465290000005,-0.60342,0.36411569639999997,111.64237660159992,12464.020253253466,83.41558271592085,6958.159439836633,115.14945244457716,13259.396398285939
intra_B_N,BN_aniline_C5F5_C5F5_tetramethylpentane15.log,16.9,-12.8,12,0.05496,0.0030206016,-0.31116,0.0968205456,0.4329890197765383,0.1874794912470475,0.42707504316965916,0.18239309249836624,-0.44808058479849416,0.20077621047336053,-0.2857265634429018,0.0816396690568906,-0.6857837675322781,0.47029937581076564,-0.43132934191223815,0.18604500119444445,-68.02076886,4626.824996305546,-191.5994507,36710.34950854173,561.2740316300001,315028.5385821943,3.0465950082927002,9.281741144553997,1.004723,1.009468306729,0.991,0.982081,-1.039742,1.0810634265639998,-0.66301,0.4395822601,108.41721153264909,11754.291756515178,94.91715201515349,9009.265746667756,102.57093274879784,10520.79624495841
intra_B_N,BN_aniline_Cl_Cl_tetramethylpentane15.log,15.0,-9.8,13,-0.01997,0.0003988009000000001,-0.32668,0.10671982240000001,0.2064112790298331,0.042605616110731624,0.3534993003452291,0.12496175534456648,-0.3782326957361022,0.14305997212379884,-0.33724003603585273,0.11373084190546325,-0.19537602567127835,0.038171791407104014,-0.29833655025560274,0.08900469721841378,-63.42927819,4023.2733317044094,-193.3571062,37386.97051803808,298.058,88838.57136399999,2.7153318991788096,7.373027322698001,0.380469,0.144756659961,0.65159,0.4245695281,-0.69718,0.48605995240000005,-0.62162,0.3864114243999999,111.91919767441891,12525.906808085656,179.88634284737174,32359.09634300217,68.08084020294682,4635.00080273918
intra_B_N,BN_aniline_H_H_tetramethylpentane15.log,9.3,-8.9,14,0.05975,0.0035700625,-0.29866,0.08919779559999999,0.25834057996583726,0.06673985525708516,0.21153889225767003,0.04474870293760213,-0.34516574851393816,0.1191393939471872,-0.29536478168495756,0.08724035425980264,-0.29015334838670476,0.08418896558001647,-0.2033088104141696,0.04133447239202476,-53.34519249,2845.7095617951527,-200.5075827,40203.29072019734,229.174,52520.722276,2.9636875567395764,8.783443933973,0.56728,0.32180659840000003,0.46451,0.2157695401,-0.757936,0.5744669800960001,-0.64858,0.42065601640000005,90.2104345725508,8137.922505768468,89.81588261861356,8066.892770560569,128.73662661013196,16573.11903095654
intra_B_N,BN_aniline_Ph_Ph_tetramethylpentane15.log,16.9,1.4,16,0.10104,0.010209081600000001,-0.2958,0.08749764,0.1533512922498339,0.023516618834693966,0.4550077504828278,0.2070320529994433,-0.4965656522580597,0.24657744700247228,-0.2895110628018108,0.08381665548463405,-0.26365955679882946,0.06951636189135518,-0.45610345271406944,0.20803035957769536,-44.16848625,1950.855177616439,-200.2001028,40080.08116113057,381.3699999999999,145443.07689999993,3.025680940997249,9.154745156713998,0.350973,0.12318204672899999,1.04137,1.0844514768999998,-1.136483,1.2915936092889997,-0.6626,0.43903876,111.09865210100503,12342.910498660149,102.0979869932891,10423.99894808183,92.62685371084072,8579.734028369487
intra_B_N,BN_aniline_mesityl_mesityl_tetramethylpentane15.log,19.7,7.8,15,0.07749,0.0060047001000000004,-0.31272,0.09779379839999999,0.2551881488728341,0.06512099132514373,0.46561150727512113,0.21679407570701018,-0.47717057443369126,0.2276917571053789,-0.2644738337741334,0.06994640875118795,-0.4882770054348608,0.23841443403643509,-0.4937857269894745,0.24382434417852383,-39.93279375,1594.6280166800393,-202.3888577,40961.24972111084,465.5319999999999,216720.04302399993,3.1774156810195606,10.095970409988999,0.644093,0.414855792649,1.1752,1.3810950400000002,-1.204375,1.450519140625,-0.66753,0.44559630089999996,98.62496892878656,9726.884496204115,105.12205310285592,11050.646048559658,108.42853010128482,11756.746139925228
