family,file_name,free_ener_barr,free_ener_reac,labels,E$_{p}$(LA),E$_{p}$(LA)$^2$,E$_{p}$(LB),E$_{p}$(LB)$^2$,EF$_{la}$(ESP),EF$_{la}$(ESP)$^2$,EF$_{la}$(NPA),EF$_{la}$(NPA)$^2$,EF$_{lb}$(ESP),EF$_{lb}$(ESP)$^2$,EF$_{lb}$(NPA),EF$_{lb}$(NPA)$^2$,EP(ESP),EP(ESP)$^2$,EP(NPA),EP(NPA)$^2$,FEHA,FEHA$^2$,FEPA,FEPA$^2$,Mw,Mw$^2$,d,d$^2$,q$_{la}$(ESP),q$_{la}$(ESP)$^2$,q$_{la}$(NPA),q$_{la}$(NPA)$^2$,q$_{lb}$(ESP),q$_{lb}$(ESP)$^2$,q$_{lb}$(NPA),q$_{lb}$(NPA)$^2$,Φ,Φ$^2$,γ,γ$^2$,λ,λ$^2$
intra_B_P,azaborinine_phbenzophosphine.log,40.9,34.1,31,0.09289,0.0086285521,-0.44134,0.1947809956,0.22388100396470997,0.05012270393624648,0.27903090360398525,0.07785824516605651,-0.2678699976641436,0.0717543356485883,0.3495625458747006,0.12219397347840216,-0.22615290901750582,0.051145138257080267,0.3678223019068388,0.13529324578004567,-27.59029956,761.224629810536,-194.7257055,37918.10038247273,403.27176199799993,162628.1140249715,3.113032217089473,9.690969584637001,0.542406,0.29420426883600004,0.67602,0.45700304039999995,-0.64898,0.4211750404,0.8469,0.71723961,81.10866628942601,6578.6157472494715,158.47195769831671,25113.36137673708,100.75221627918248,10151.009085167163
intra_B_P,perf_tetrafphphosphane.log,20.7,7.8,32,0.04585,0.0021022225,-0.51482,0.26503963240000006,0.3332878718790257,0.11108080554164985,0.356643579956079,0.1271946431238881,-0.12667988632315136,0.01604779359884655,0.11758409008687254,0.013826018241557757,-0.18473941979801733,0.03412865322730808,0.1834912559913806,0.03366904102529437,-72.3719232,5237.695267666698,-167.1089904,27925.414672507297,454.01379362799986,206128.52480448806,3.2712027478202876,10.700767417347,0.891609,0.794966608881,0.95409,0.9102877281,-0.338893,0.114848465449,0.31456,0.0989479936,56.8009473752579,3226.347622726817,156.00657631521116,24338.051853593806,127.98645631485489,16380.53300003426
intra_B_P,phosphanylphenilborane_phosphanylphenilborane.log,20.3,9.2,33,0.11328,0.0128323584,-0.43378,0.18816508839999999,0.2427962253096544,0.05895000702461646,0.5115214252166341,0.26165416845565664,-0.18313163938042687,0.03353719734216271,0.3743146403046607,0.14011144994640753,-0.1613912827698431,0.026047146154095455,0.6949849537939918,0.48300408600003697,-38.30377779,1467.1793929856972,-204.3410413,41755.261159568305,590.5592859940002,348760.2702737434,3.073653561186589,9.447346214195,0.573445,0.32883916802499996,1.20813,1.4595780968999998,-0.432527,0.187079605729,0.88407,0.7815797649,92.16994601732907,8495.298948837355,174.86962945136884,30579.387304459044,87.92623577234833,7731.022937094588
