family,file_name,free_ener_barr,free_ener_reac,labels,E$_{p}$(LA),E$_{p}$(LA)$^2$,E$_{p}$(LB),E$_{p}$(LB)$^2$,EF$_{la}$(ESP),EF$_{la}$(ESP)$^2$,EF$_{la}$(NPA),EF$_{la}$(NPA)$^2$,EF$_{lb}$(ESP),EF$_{lb}$(ESP)$^2$,EF$_{lb}$(NPA),EF$_{lb}$(NPA)$^2$,EP(ESP),EP(ESP)$^2$,EP(NPA),EP(NPA)$^2$,FEHA,FEHA$^2$,FEPA,FEPA$^2$,Mw,Mw$^2$,d,d$^2$,q$_{la}$(ESP),q$_{la}$(ESP)$^2$,q$_{la}$(NPA),q$_{la}$(NPA)$^2$,q$_{lb}$(ESP),q$_{lb}$(ESP)$^2$,q$_{lb}$(NPA),q$_{lb}$(NPA)$^2$,Φ,Φ$^2$,γ,γ$^2$,λ,λ$^2$
intra_Al_N,bicyclo_alaniline.log,17.5,16.8,34,-0.01594,0.0002540836,-0.36171,0.13083412409999998,0.24931415634543874,0.06215754855423787,0.6908560227035091,0.47728204410571146,-0.3261872414321699,0.10639811647312872,-0.2993057831530071,0.08958395182883491,-0.36305634625093286,0.13180991055307725,-0.9231298196282327,0.8521686638868534,-48.90367671,2391.569595756196,-179.8712888,32353.680534573006,229.3025385,52579.65416254398,3.2931893601100444,10.845096161542003,0.675959,0.456920569681,1.8731,3.50850361,-0.884383,0.7821332906890001,-0.8115,0.65853225,2.741550640646495,7.516099915229208,177.6530859886697,31560.618961297667,178.56762854815668,31886.39796531246
intra_Al_N,oh_alclmetriazole.log,20.2,5.8,35,0.09355,0.008751602499999999,-0.4789,0.22934521,0.594166996800413,0.35303442008682195,0.9633937585311663,0.9281275339768071,-0.13560307615542272,0.018388194262813375,-0.12172946282021624,0.014818062118498407,-0.24690379821005853,0.0609614855705533,-0.35937613864366297,0.12915120902642926,-52.72960518,2780.411262438683,-184.2676239,33954.55721775185,177.52353849999997,31514.606721560973,2.905002856172262,8.439041594369,1.25355,1.5713876024999998,2.03253,4.1311782009,-0.28609,0.0818474881,-0.25682,0.0659565124,85.70842655199846,7345.934382019314,94.58621705371947,8946.55245653333,203.17231792254088,41278.99077001803
intra_Al_N,pph_albbenzoxanthene.log,21.0,19.4,36,-88.10402,7762.318340160401,-0.43396,0.1883212816,0.18758644491045595,0.03518867431414353,0.32168604564091857,0.10348191196009114,-0.0015189516523766093,2.3072141222576317e-06,-0.09407591722148746,0.008850278201064161,-0.0038078808123126265,1.4499956280778669e-05,-0.4044349010231073,0.1635675891655706,-38.51587617,1483.4727171427737,-134.4665477,18081.252450356376,581.7795385000002,338467.4314172732,4.746162933871845,22.526062594858995,1.056396,1.1159725088159997,1.81158,3.2818220964,-0.008554,7.317091600000002e-05,-0.52979,0.2806774441,137.0599623414601,18785.433277042463,19.463813686619048,378.84004322741896,126.85375605191525,16091.875424478827
