labels,family,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E$_{p}$(LA),E$_{p}$(LB),d,Mw,γ,λ,Φ,q$_{la}$(NPA),q$_{lb}$(NPA),q$_{la}$(ESP),q$_{lb}$(ESP),EF$_{la}$(NPA),EF$_{lb}$(NPA),EF$_{la}$(ESP),EF$_{lb}$(ESP),EP(NPA),EP(ESP)
34,intra_Al_N,bicyclo_alaniline.log,16.8,17.5,-48.90367671,-179.8712888,-0.01594,-0.36171,3.2931893601100444,229.3025385,177.6530859886697,178.56762854815668,2.741550640646495,1.8731,-0.8115,0.675959,-0.884383,0.6908560227035091,-0.2993057831530071,0.24931415634543874,-0.3261872414321699,-0.9231298196282327,-0.36305634625093286
35,intra_Al_N,oh_alclmetriazole.log,5.8,20.2,-52.72960518,-184.2676239,0.09355,-0.4789,2.905002856172262,177.52353849999997,94.58621705371947,203.17231792254088,85.70842655199846,2.03253,-0.25682,1.25355,-0.28609,0.9633937585311663,-0.12172946282021624,0.594166996800413,-0.13560307615542272,-0.35937613864366297,-0.24690379821005853
36,intra_Al_N,pph_albbenzoxanthene.log,19.4,21.0,-38.51587617,-134.4665477,-88.10402,-0.43396,4.746162933871845,581.7795385000002,19.463813686619048,126.85375605191525,137.0599623414601,1.81158,-0.52979,1.056396,-0.008554,0.32168604564091857,-0.09407591722148746,0.18758644491045595,-0.0015189516523766093,-0.4044349010231073,-0.0038078808123126265
