labels,file_name,free_ener_reac,free_ener_barr,FEHA,FEPA,E_p(LA),E_p(LB),d,Mw,γ,λ,Φ,q_la(NPA),q_lb(NPA),q_la(ESP),q_lb(ESP),EF_la(NPA),EF_lb(NPA),EF_la(ESP),EF_lb(ESP),EP(NPA),EP(ESP)
52,4meborinane_dimethylaniline.log,6.7,11.44144995,-39.02227674,-189.2726436,0.15261,-0.31634,3.0745958388986674,257.228,85.69872779487179,120.2311713339254,78.09812617021917,1.35736,-0.52317,0.291064,-0.200568,0.09505016225590758,-0.03663537557274649,0.020381977092925593,-0.014044926138491537,-0.1879173100533995,-0.015448241325117327
35,4meborinane_metriazole.log,4.9,25.47194604,-46.47395799,-187.1127542,0.11135,-0.47118,2.587192332376161,219.139,64.86316732512068,108.55493402154018,90.07096172319267,1.2207,-0.26628,0.135545,-0.139366,0.07972530603137036,-0.017391049799322766,0.008852598186304657,-0.009102152044210667,-0.0830694085001171,-0.0048276298337016285
88,bicyclo_biphenylene.log,16.1,20.58364314,-42.63736185,-187.7139088,0.12385,-0.33148,3.948278798059858,315.26699999999994,49.701147775894896,100.3331599521135,37.65874109327106,1.14902,-0.52079,0.338,-0.215286,0.06807201317521781,-0.03085344357932994,0.02002431676839709,-0.012754304910654247,-0.14565008013812777,-0.01771140411146077
112,bicyclo_dibenzofuran.log,33.9,57.30803838,-42.79549437,-183.6507815,0.11946,-0.33748,5.564600636814201,331.266,6.876479171248676,120.52881708952206,120.17048783672712,1.12812,-0.55026,0.429735,-0.403075,0.070010923929607,-0.03414903645135761,0.026669276668164436,-0.025014761871898685,-0.15464237028000458,-0.04315109733115569
56,bicyclo_dimethylaniline.log,12.7,18.70989828,-37.54825575,-189.7137832,0.12039,-0.32266,3.0229223261304616,241.185,69.47361872026,124.5813371144577,60.6079642501687,1.19277,-0.52698,0.286314,-0.237729,0.07662271097399667,-0.03385282680573519,0.01839261120736511,-0.01527154477152951,-0.15931301020068345,-0.017251432014636785
39,bicyclo_metriazole.log,9.9,31.30465149,-39.09255786,-186.3503296,0.10527,-0.47346,2.5809146489725303,203.09599999999998,7.863510144137763,135.16627151091998,45.37472883493011,1.05936,-0.24022,0.087955,-0.270689,0.06606488292442024,-0.014980843316817916,0.005485138930691533,-0.016880982002273438,-0.06355010650771235,-0.005945586340337131
101,bicyclo_naphtoxanthene.log,24.0,32.81820561,-40.62242724,-193.3000028,0.11938,-0.34735,4.6438644983251836,405.348,36.24883954508866,74.40646042713941,22.932769002696304,1.20883,-0.54146,0.520098,-0.162134,0.04810667013573935,-0.021547974166505984,0.020697850751766386,-0.006452294247981902,-0.13057247675788589,-0.01682206530658954
95,bicyclo_xanthene.log,19.1,23.40241806,-38.60247255,-192.7929747,0.12463,-0.33084,4.255981482099752,373.347,20.74673022360838,56.65192939302213,11.756878268512471,1.23734,-0.53562,0.44255,-0.09484,0.0646212845404652,-0.027973275272410142,0.023112604032345895,-0.004953111210999174,-0.15145691442994785,-0.009591734685241054
41,borole_dimethylaniline.log,2.3,13.52101809,-48.67902813,-188.2510573,0.08453,-0.31818,3.011896173241203,183.061,57.95546283551027,132.42844933495797,126.97147656583437,0.82903,-0.51279,0.681215,-0.33491,0.05165443276607425,-0.03195044398648446,0.04244451276400284,-0.02086726183333043,-0.10611541308699945,-0.05694832995663406
30,ccl3_metriazole.log,-25.1,13.36163055,-86.32084299,-188.574225,0.00251,-0.49151,2.566410263588813,329.618,78.89572532145836,144.97817659761685,104.87099870930383,0.97045,-0.22286,0.564673,-0.282369,0.09548534768088598,-0.021927832020364007,0.055559789511060775,-0.027783092523369666,-0.06784019307438002,-0.05001448748704558
73,cf3_benzopiperidine.log,-9.2,27.17689071,-66.5486304,-163.0282929,0.09391,-0.42398,1.7278106932864492,309.06241897799987,0.536392358548786,47.19913159386148,47.19858651943649,0.45343,-0.53128,-0.084321,-0.138242,0.02784203795335355,-0.03262227449409539,-0.005177576433550326,-0.008488496594286883,-0.05969378308998711,0.002888491819440334
110,cf3_dibenzofuran.log,-11.5,34.49114727,-89.58703254,-184.5343156,0.00909,-0.33301,5.604062657961186,359.0784189779999,6.568596270396864,126.43856290220756,126.06702148817313,0.72414,-0.54613,0.141086,-0.378634,0.04514238871416184,-0.03404536795159113,0.008795204040829448,-0.02360378270555135,-0.09874146597456115,-0.013337810090057219
37,cf3_metriazole.log,-25.5,14.36752908,-87.97997943,-169.6824089,0.00842,-0.50602,2.536595242601586,230.90841897800001,89.65667050530612,152.95078246226643,89.72408031097548,0.65508,-0.1952,0.003836,-0.264506,0.05589544726222112,-0.01665566237037547,0.0003273110699424196,-0.02256927577325069,-0.0373521152825911,-0.00029638428600557064
69,cl_benzopiperidine.log,-6.5,16.73073174,-62.54448909,-188.7863234,-0.03203,-0.32871,2.990221904141731,241.95,73.83048703052317,116.96942899632487,61.67683491108512,0.59413,-0.55016,0.410743,-0.539049,0.038662206288854944,-0.03580091800090289,0.026728545264004755,-0.03507788470166624,-0.08338214618611345,-0.05648081974262955
86,cl_biphenylene.log,-2.3,19.49491329,-66.46517157,-187.6643355,-0.08174,-0.3318,3.981183515924504,275.967,40.31496913519453,99.80642448589865,30.777538327113735,0.57897,-0.54241,0.441616,-0.173952,0.033493538580770296,-0.03137853474548874,0.025547580244028974,-0.010063160480166769,-0.07553291310683195,-0.018476798057939094
